time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447700000	20,0771	10,3732	4,78159	1,3347	0,437106	lidar	3286,49	20,166	10,4687	20,0818	10,3863	0,968259	4,75666
1477010447750000	20,0737	10,6248	4,7511	1,38184	0,465221	radar	5442,62	19,6775	10,803	20,1271	10,6247	0,845742	4,77652
1477010447800000	20,1262	10,866	4,76242	1,40347	0,463813	lidar	3413,43	20,371	11,0109	20,1663	10,864	0,722256	4,7934
1477010447850000	20,1325	11,1757	4,8623	1,43905	0,466882	radar	5785,93	19,4335	12,3402	20,1993	11,1041	0,597892	4,80727
1477010447900000	20,1781	11,397	4,84247	1,45561	0,461945	lidar	3446,87	20,3164	11,3483	20,2261	11,3449	0,472738	4,81807
1477010447950000	20,0755	11,6874	4,80483	1,53851	0,529496	radar	5662,13	19,2063	12,2418	20,2466	11,5861	0,346889	4,82575
1477010448000000	20,1237	11,8959	4,77274	1,55031	0,518758	lidar	3612,31	20,6141	11,9422	20,2608	11,8275	0,220439	4,83027
1477010448050000	20,1654	12,1103	4,80519	1,54362	0,473468	radar	5878,69	19,966	11,9688	20,2687	12,0692	0,093487	4,83159
1477010448100000	20,173	12,3612	4,81845	1,56721	0,473184	lidar	3623,56	20,3263	12,4966	20,2701	12,3108	-0,0338694	4,82968
1477010448150000	20,1173	12,5982	4,76179	1,62031	0,512767	radar	6038,1	20,0192	12,4823	20,2652	12,5522	-0,161529	4,82451
1477010448200000	20,1333	12,8182	4,74073	1,63663	0,506101	lidar	3731,93	20,498	12,8924	20,254	12,7933	-0,28939	4,81605
1477010448250000	20,1618	13,0123	4,68339	1,64881	0,499167	radar	6326,23	20,9151	12,2555	20,2363	13,0339	-0,417348	4,80428
1477010448300000	20,15	13,2312	4,6659	1,67041	0,496935	lidar	3699,14	20,1943	13,1688	20,2122	13,2738	-0,545298	4,78918
1477010448350000	20,11	13,465	4,67562	1,69681	0,495736	radar	6301,06	19,858	13,5236	20,1818	13,5129	-0,673135	4,77072
1477010448400000	20,0876	13,7064	4,68685	1,71949	0,494007	lidar	3856,9	20,3245	13,8896	20,1449	13,7509	-0,800753	4,74892
1477010448450000	20,0488	13,9151	4,64157	1,75088	0,507664	radar	6487,34	20,3387	13,5307	20,1017	13,9878	-0,928043	4,72374
1477010448500000	20,0023	14,1608	4,66394	1,77733	0,508141	lidar	3885,12	20,1216	14,337	20,0521	14,2233	-1,0549	4,69521
1477010448550000	19,9287	14,3871	4,6642	1,80978	0,514773	radar	6522,22	19,6717	14,4038	19,9962	14,4573	-1,18121	4,66331
1477010448600000	19,8512	14,6395	4,70073	1,84093	0,518261	lidar	3879,37	19,781	14,773	19,934	14,6897	-1,30687	4,62805
1477010448650000	19,8096	14,8185	4,64637	1,85586	0,506156	radar	6558,57	20,1149	14,0165	19,8655	14,9202	-1,43177	4,58944
1477010448700000	19,7576	15,043	4,64529	1,87704	0,503141	lidar	4022,41	20,0208	15,2053	19,7908	15,1486	-1,55581	4,54751
1477010448750000	19,6281	15,2609	4,59656	1,95224	0,581119	radar	7000,37	20,0157	15,3443	19,7099	15,3749	-1,67887	4,50226
1477010448800000	19,5713	15,4581	4,56868	1,97341	0,575729	lidar	4063,33	19,9131	15,554	19,6229	15,5989	-1,80085	4,45372
1477010448850000	19,5057	15,6375	4,52562	1,99497	0,569912	radar	6866,26	19,9388	15,0864	19,5298	15,8203	-1,92164	4,40193
1477010448900000	19,405	15,8584	4,54645	2,02411	0,570045	lidar	4045,29	19,4748	16,0098	19,4307	16,039	-2,04114	4,3469
1477010448950000	19,3133	16,0582	4,54713	2,04046	0,550094	radar	6911,79	19,1556	16,0022	19,3257	16,2549	-2,15925	4,28868
1477010449000000	19,2098	16,2587	4,54555	2,06742	0,549726	lidar	4040,55	19,238	16,2719	19,2148	16,4679	-2,27586	4,22731
1477010449050000	19,1069	16,4488	4,52892	2,09786	0,557426	radar	7118,92	19,4007	16,2962	19,0981	16,6777	-2,39087	4,16284
1477010449100000	18,9786	16,6649	4,56013	2,12716	0,55793	lidar	4102,81	19,0029	16,8387	18,9757	16,8841	-2,50418	4,0953
1477010449150000	18,8096	16,8944	4,61375	2,1901	0,613991	radar	7502,47	18,8373	17,7112	18,8477	17,0872	-2,61571	4,02476
1477010449200000	18,6466	17,1186	4,67144	2,22396	0,615238	lidar	4128,25	18,6148	17,3832	18,7142	17,2866	-2,72534	3,95127
1477010449250000	18,5815	17,2977	4,61631	2,2094	0,550372	radar	7188,57	18,8177	17,0316	18,5752	17,4822	-2,83299	3,87489
1477010449300000	18,3998	17,5111	4,67419	2,24341	0,553874	lidar	4046	18,1023	17,5529	18,4309	17,674	-2,93858	3,79568
1477010449350000	18,2762	17,6886	4,65668	2,25325	0,52587	radar	7194,53	18,2749	17,4877	18,2814	17,8617	-3,042	3,71372
1477010449400000	18,1244	17,8815	4,67385	2,27858	0,524859	lidar	4182,18	18,2094	18,0461	18,1268	18,0453	-3,14318	3,62906
1477010449450000	17,9611	18,0164	4,63599	2,3232	0,553419	radar	7231,82	18,3021	17,498	17,9671	18,2246	-3,24204	3,5418
1477010449500000	17,8096	18,1804	4,62669	2,3493	0,552468	lidar	4151,21	17,9018	18,2183	17,8026	18,3994	-3,3385	3,45199
1477010449550000	17,7262	18,3507	4,57477	2,35503	0,532345	radar	7674,05	18,8558	18,1364	17,6334	18,5697	-3,43247	3,35973
1477010449600000	17,5294	18,5424	4,63176	2,38407	0,533073	lidar	4149,23	17,3845	18,7039	17,4595	18,7353	-3,5239	3,26509
1477010449650000	17,3674	18,6607	4,58954	2,42016	0,547936	radar	7312,59	17,7945	18,0801	17,281	18,8962	-3,61271	3,16817
1477010449700000	17,1861	18,8188	4,60385	2,44761	0,547738	lidar	4147,13	17,1762	18,8863	17,0983	19,0521	-3,69883	3,06904
1477010449750000	17,0214	19,0143	4,63841	2,4611	0,532416	radar	7765,33	16,9398	19,7311	16,9113	19,203	-3,78221	2,9678
1477010449800000	16,8144	19,1641	4,66486	2,49127	0,534478	lidar	4057,35	16,5734	19,052	16,7201	19,3488	-3,86278	2,86455
1477010449850000	16,6044	19,3499	4,73219	2,51944	0,540771	radar	7782,78	16,1674	20,2201	16,5251	19,4894	-3,9405	2,75938
1477010449900000	16,3804	19,5096	4,78022	2,54764	0,540809	lidar	4125,04	16,2338	19,6171	16,3262	19,6246	-4,01531	2,65237
1477010449950000	16,1662	19,5448	4,7173	2,60171	0,572258	radar	7008,36	16,4366	18,2742	16,1237	19,7545	-4,08716	2,54364
1477010450000000	15,9443	19,6857	4,75291	2,62933	0,570975	lidar	4125,61	15,9243	19,8703	15,9176	19,8789	-4,15602	2,43329
1477010450050000	15,788	19,786	4,6665	2,63637	0,536001	radar	7338,27	16,2328	19,2166	15,7082	19,9978	-4,22185	2,32141
1477010450100000	15,5455	19,9329	4,73116	2,66193	0,533976	lidar	4107,57	15,4332	20,1836	15,4956	20,111	-4,28461	2,2081
1477010450150000	15,3062	20,1226	4,81542	2,67129	0,512527	radar	7866,28	14,3677	21,3406	15,2799	20,2185	-4,34427	2,09347
1477010450200000	15,0915	20,2415	4,8241	2,69438	0,510592	lidar	4127,81	15,2016	20,4385	15,0613	20,3203	-4,4008	1,97763
1477010450250000	14,8601	20,3139	4,81579	2,72812	0,517706	radar	7316,49	14,7476	19,9571	14,84	20,4162	-4,4542	1,86068
1477010450300000	14,6298	20,4243	4,83676	2,75185	0,515855	lidar	4070,54	14,6665	20,6088	14,6161	20,5063	-4,50443	1,74272
